"","fips","Hillary Clinton","Donald Trump","Jill Stein","Gary Johnson","Third","diff"
"599","19119",917,5188,18,137,155,-4271
"600","19121",2666,5336,41,344,385,-2670
"601","19123",2606,7404,38,316,354,-4798
"602","19125",5469,10940,73,703,776,-5471
"603","19127",7623,9125,117,576,693,-1502
"604","19129",2080,5050,56,303,359,-2970
"605","19131",1879,3180,28,209,237,-1301
"606","19133",1244,3115,22,112,134,-1871
"607","19135",1053,2635,13,104,117,-1582
"608","19137",1312,3431,38,152,190,-2119
"609","19139",8284,9549,180,741,921,-1265
"610","19141",1314,5735,27,195,222,-4421
"611","19143",552,2528,10,73,83,-1976
"612","19145",1801,4875,37,174,211,-3074
"613","19147",1395,3079,20,131,151,-1684
"614","19149",2878,9659,52,342,394,-6781
"615","19151",962,2692,14,115,129,-1730
"616","19153",119671,93421,1734,10009,11743,26250
"617","19155",15341,24441,327,1467,1794,-9100
"618","19157",4272,4936,72,281,353,-664
"619","19159",753,1820,8,72,80,-1067
"620","19161",1269,3692,23,129,152,-2423
"621","19163",40302,39083,782,3547,4329,1219
"622","19165",1649,4340,28,174,202,-2691
"623","19167",2289,14761,53,431,484,-12472
"624","19169",25085,19111,475,2963,3438,5974
"625","19171",3194,4968,79,244,323,-1774
"626","19173",755,2108,10,97,107,-1353
"627","19175",1920,3521,52,212,264,-1601
"628","19177",843,2524,19,83,102,-1681
"629","19179",5591,8710,121,380,501,-3119
"630","19181",10371,14773,122,1270,1392,-4402
"631","19183",3938,6170,79,458,537,-2232
"632","19185",719,2069,17,78,95,-1350
"633","19187",6293,10049,113,568,681,-3756
"634","19189",1920,3437,34,218,252,-1517
"635","19191",5238,5332,99,381,480,-94
"636","19193",16102,24627,323,1173,1496,-8525
"637","19195",1523,2443,24,165,189,-920
"638","19197",1890,3790,35,175,210,-1900
"639","20001",1398,3575,118,223,341,-2177
"640","20003",665,2386,80,146,226,-1721
"641","20005",1946,3977,160,310,470,-2031
"642","20007",281,1822,28,78,106,-1541
"643","20009",1823,7766,155,344,499,-5943
"644","20011",1306,4314,106,192,298,-3008
"645","20013",850,2861,97,152,249,-2011
"646","20015",6489,18781,390,1391,1781,-12292
"647","20017",313,964,23,42,65,-651
"648","20019",236,1552,27,30,57,-1316
"649","20021",1959,6017,123,287,410,-4058
"650","20023",188,1172,20,29,49,-984
"651","20025",118,813,19,33,52,-695
"652","20027",665,2831,85,146,231,-2166
"653","20029",744,2856,74,157,231,-2112
"654","20031",719,2990,68,185,253,-2271
"655","20033",102,705,10,40,50,-603
"656","20035",3436,8016,264,455,719,-4580
"657","20037",5064,8394,300,646,946,-3330
"658","20039",178,1220,20,42,62,-1042
"659","20041",1582,5905,160,361,521,-4323
"660","20043",584,2601,56,125,181,-2017
"661","20045",30089,14308,1485,2349,3834,15781
"662","20047",208,1033,34,33,67,-825
"663","20049",160,1048,16,35,51,-888
"664","20051",2669,8311,226,454,680,-5642
"665","20053",515,1933,73,105,178,-1418
"666","20055",3006,6155,174,396,570,-3149
"667","20057",2032,4994,129,270,399,-2962
"668","20059",2829,7025,258,546,804,-4196
"669","20061",2569,4116,145,299,444,-1547
"670","20063",149,1127,12,40,52,-978
"671","20065",185,1013,29,38,67,-828
"672","20067",427,1755,31,98,129,-1328
"673","20069",257,1651,30,73,103,-1394
"674","20071",83,523,8,25,33,-440
"675","20073",484,2146,59,122,181,-1662
"676","20075",114,690,13,30,43,-576
"677","20077",388,1950,60,115,175,-1562
"678","20079",5006,8503,358,673,1031,-3497
"679","20081",228,1011,21,40,61,-783
"680","20083",124,845,16,21,37,-721
"681","20085",1489,3888,139,211,350,-2399
"682","20087",2483,5112,181,375,556,-2629
"683","20089",180,1204,43,56,99,-1024
"684","20091",126324,133907,4849,14673,19522,-7583
"685","20093",224,1048,13,40,53,-824
"686","20095",594,2507,68,112,180,-1913
"687","20097",111,855,15,42,57,-744
"688","20099",2234,5232,162,291,453,-2998
"689","20101",104,684,12,31,43,-580
"690","20103",10064,17387,645,1580,2225,-7323
"691","20105",214,1168,27,39,66,-954
"692","20107",721,3377,65,116,181,-2656
"693","20109",149,1124,28,47,75,-975
"694","20111",4456,6354,312,623,935,-1898
"695","20113",3183,8407,287,566,853,-5224
"696","20115",1177,3928,139,221,360,-2751
"697","20117",1060,3250,72,196,268,-2190
"698","20119",206,1390,18,61,79,-1184
"699","20121",3949,9839,257,667,924,-5890
"700","20123",469,2216,53,86,139,-1747
"701","20125",2557,8466,205,395,600,-5909
"702","20127",586,1790,60,132,192,-1204
"703","20129",145,970,13,32,45,-825
"704","20131",714,4066,82,163,245,-3352
"705","20133",1464,4340,115,232,347,-2876
"706","20135",160,1216,20,39,59,-1056
"707","20137",277,1808,40,65,105,-1531
"708","20139",1730,4713,162,289,451,-2983
"709","20141",231,1437,40,45,85,-1206
"710","20143",424,2261,42,139,181,-1837
"711","20145",567,1872,34,129,163,-1305
"712","20147",296,2200,29,86,115,-1904
"713","20149",2191,7451,185,532,717,-5260
"714","20151",769,2824,50,163,213,-2055
"715","20153",160,1209,26,53,79,-1049
"716","20155",6670,15100,439,1239,1678,-8430
"717","20157",370,1993,41,80,121,-1623
"718","20159",668,2652,65,182,247,-1984
"719","20161",8892,9817,386,1380,1766,-925
"720","20163",273,1999,29,77,106,-1726
"721","20165",227,1177,17,53,70,-950
"722","20167",454,2544,43,107,150,-2090
"723","20169",6084,13367,445,1310,1755,-7283
"724","20171",232,1832,26,69,95,-1600
"725","20173",66716,101319,3850,8865,12715,-34603
"726","20175",1491,3025,55,172,227,-1534
"727","20177",33270,35349,1698,3331,5029,-2079
"728","20179",126,1186,12,38,50,-1060
"729","20181",340,2043,45,109,154,-1703
"730","20183",295,1635,29,55,84,-1340
"731","20185",303,1485,34,62,96,-1182
"732","20187",132,580,8,22,30,-448
"733","20189",215,1564,25,49,74,-1349
"734","20191",2039,6844,199,412,611,-4805
"735","20193",467,2832,55,129,184,-2365
"736","20195",193,1211,17,38,55,-1018
"737","20197",773,2358,69,140,209,-1585
"738","20199",45,711,8,15,23,-666
"739","20201",378,2136,45,118,163,-1758
"740","20203",139,765,12,18,30,-626
"741","20205",550,2747,55,130,185,-2197
"742","20207",270,1063,24,63,87,-793
"743","20209",29346,15520,919,1682,2601,13826
"744","21001",1323,6637,35,141,176,-5314
"745","21003",1349,6466,46,161,207,-5117
"746","21005",2634,8242,54,319,373,-5608
"747","21007",816,3161,20,77,97,-2345
"748","21009",4275,13483,93,455,548,-9208
"749","21011",1361,3082,24,75,99,-1721
"750","21013",1720,7764,42,144,186,-6044
"751","21015",15026,39082,380,2299,2679,-24056
"752","21017",2791,5569,52,283,335,-2778
"753","21019",6021,13591,167,496,663,-7570
"754","21021",4281,8040,73,365,438,-3759
"755","21023",705,2711,20,51,71,-2006
"756","21025",1537,3991,35,117,152,-2454
"757","21027",1960,6484,47,194,241,-4524
"758","21029",8255,26210,253,964,1217,-17955
"759","21031",947,4428,11,136,147,-3481
"760","21033",1260,4507,32,118,150,-3247
"761","21035",4749,10367,150,492,642,-5618
"762","21037",14658,25050,422,1789,2211,-10392
"763","21039",432,2094,12,42,54,-1662
"764","21041",1106,2588,24,100,124,-1482
"765","21043",2276,7587,58,237,295,-5311
"766","21045",767,5482,28,121,149,-4715
"767","21047",7188,14108,120,474,594,-6920
"768","21049",4706,10710,121,453,574,-6004
"769","21051",752,5861,26,83,109,-5109
"770","21053",547,3809,15,60,75,-3262
"771","21055",617,3290,17,76,93,-2673
"772","21057",459,2502,11,67,78,-2043
"773","21059",14163,28907,453,1488,1941,-14744
"774","21061",979,4135,20,77,97,-3156
"775","21063",740,2000,19,67,86,-1260
"776","21065",1108,4236,30,129,159,-3128
"777","21067",69776,56890,1580,5230,6810,12886
"778","21069",1348,4722,20,109,129,-3374
"779","21071",4015,11993,56,357,413,-7978
"780","21073",10717,11819,236,725,961,-1102
"781","21075",774,1549,7,35,42,-775
"782","21077",749,2443,18,100,118,-1694
"783","21079",1453,5904,33,157,190,-4451
"784","21081",1910,7268,71,226,297,-5358
"785","21083",3308,12671,80,411,491,-9363
"786","21085",1959,8219,46,259,305,-6260
"787","21087",832,4372,24,84,108,-3540
"788","21089",4146,11546,109,319,428,-7400
"789","21091",1244,2788,44,129,173,-1544
"790","21093",13944,26970,346,1413,1759,-13026
"791","21095",1372,9129,39,156,195,-7757
"792","21097",2031,5435,46,184,230,-3404
"793","21099",1730,5320,39,140,179,-3590
"794","21101",6707,12159,142,507,649,-5452
"795","21103",1828,4944,58,224,282,-3116
"796","21105",449,1657,6,26,32,-1208
"797","21107",4310,15277,97,478,575,-10967
"798","21109",482,4889,20,79,99,-4407
"799","21111",190824,143758,3224,10187,13411,47066
"800","21113",6144,15474,170,829,999,-9330
"801","21115",1250,8043,60,163,223,-6793
"802","21117",24213,42958,703,3093,3796,-18745
"803","21119",1245,4357,13,102,115,-3112
"804","21121",1761,9885,64,189,253,-8124
"805","21123",1278,4799,28,174,202,-3521
"806","21125",3440,20592,114,473,587,-17152
"807","21127",1045,4816,32,107,139,-3771
"808","21129",444,2151,7,42,49,-1707
"809","21131",400,4015,15,39,54,-3615
"810","21133",1542,7293,37,210,247,-5751
"811","21135",785,4363,16,95,111,-3578
"812","21137",1865,7338,44,226,270,-5473
"813","21139",887,3570,24,115,139,-2683
"814","21141",2755,7778,43,229,272,-5023
"815","21143",1045,2789,15,74,89,-1744
"816","21145",9134,20774,217,839,1056,-11640
"817","21147",664,5012,18,59,77,-4348
"818","21149",988,3381,15,137,152,-2393
"819","21151",11793,23431,353,1189,1542,-11638
"820","21153",1172,3824,17,66,83,-2652
"821","21155",2679,5122,33,215,248,-2443
"822","21157",3672,12322,84,426,510,-8650
"823","21159",363,3503,13,52,65,-3140
"824","21161",1970,4944,38,173,211,-2974
"825","21163",3026,8660,97,333,430,-5634
"826","21165",700,2010,14,43,57,-1310
"827","21167",2395,7740,68,275,343,-5345
"828","21169",976,3491,22,86,108,-2515
"829","21171",601,4278,13,76,89,-3677
"830","21173",3158,7856,68,264,332,-4698
"831","21175",1006,3628,26,63,89,-2622
"832","21177",3272,9393,44,230,274,-6121
"833","21179",6434,13430,131,565,696,-6996
"834","21181",787,1957,9,65,74,-1170
"835","21183",2080,7942,64,207,271,-5862
"836","21185",10268,20469,282,1229,1511,-10201
"837","21187",1062,3745,25,122,147,-2683
"838","21189",256,1474,0,24,24,-1218
"839","21191",1164,4604,27,145,172,-3440
"840","21193",2136,8158,47,168,215,-6022
"841","21195",4277,19740,86,411,497,-15463
"842","21197",1272,3513,27,118,145,-2241
"843","21199",4208,22900,127,562,689,-18692
"844","21201",222,759,5,19,24,-537
"845","21203",915,5609,25,87,112,-4694
"846","21205",3295,5174,85,207,292,-1879
"847","21207",1093,6863,14,153,167,-5770
"848","21209",7713,15052,139,853,992,-7339
"849","21211",6276,13196,138,629,767,-6920
"850","21213",2144,5077,38,200,238,-2933
"851","21215",1921,7196,44,237,281,-5275
"852","21217",2553,8320,53,233,286,-5767
"853","21219",1042,3612,26,64,90,-2570
"854","21221",1587,4928,45,121,166,-3341
"855","21223",879,2771,20,88,108,-1892
"856","21225",1331,4701,29,115,144,-3370
"857","21227",16966,28673,415,1605,2020,-11707
"858","21229",1420,4013,17,111,128,-2593
"859","21231",1431,6370,30,116,146,-4939
"860","21233",1240,4397,22,111,133,-3157
"861","21235",2067,11312,41,242,283,-9245
"862","21237",753,1804,9,42,51,-1051
"863","21239",4958,7697,117,529,646,-2739
"864","22001",5638,21159,106,281,387,-15521
"865","22003",2106,6867,50,102,152,-4761
"866","22005",16471,36135,324,1182,1506,-19664
"867","22007",3931,6714,39,127,166,-2783
"868","22009",5032,11163,69,188,257,-6131
"869","22011",2393,12238,64,225,289,-9845
"870","22013",3129,3756,23,54,77,-627
"871","22015",12638,35451,262,1022,1284,-22813
"872","22017",53448,48977,663,1861,2524,4471
"873","22019",26293,54182,551,1786,2337,-27889
"874","22021",788,3822,14,28,42,-3034
"875","22023",323,3256,16,57,73,-2933
"876","22025",1322,3479,14,17,31,-2157
"877","22027",2717,3585,25,45,70,-868
"878","22029",3272,5474,14,68,82,-2202
"879","22031",5163,8067,33,128,161,-2904
"880","22033",102711,84620,1642,4959,6601,18091
"881","22035",1838,1059,6,16,22,779
"882","22037",4235,5569,38,102,140,-1334
"883","22039",4208,10357,66,116,182,-6149
"884","22041",2506,6514,28,68,96,-4008
"885","22043",1181,7406,34,126,160,-6225
"886","22045",10698,20903,170,443,613,-10205
"887","22047",8324,7320,92,165,257,1004
"888","22049",2139,5169,20,74,94,-3030
"889","22051",73540,100292,1606,4297,5903,-26752
"890","22053",3080,10775,71,185,256,-7695
"891","22055",32726,68191,851,2833,3684,-35465
"892","22057",8423,31958,233,734,967,-23535
"893","22059",605,5835,19,53,72,-5230
"894","22061",7102,10761,120,440,560,-3659
"895","22063",6950,48797,292,1149,1441,-41847
"896","22065",2744,1927,15,17,32,817
"897","22067",5155,6502,46,73,119,-1347
"898","22069",7143,8965,91,260,351,-1822
"899","22071",133833,24267,2544,3636,6180,109566
"900","22073",24420,41712,343,980,1323,-17292
"901","22075",3347,6900,74,178,252,-3553
"902","22077",4764,6789,35,86,121,-2025
"903","22079",18318,36814,314,858,1172,-18496
"904","22081",1938,2391,11,47,58,-453
"905","22083",3157,6286,35,67,102,-3129
"906","22085",1703,7877,24,97,121,-6174
"907","22087",4957,10232,169,308,477,-5275
"908","22089",8558,16620,186,592,778,-8062
"909","22091",3353,2497,18,43,61,856
"910","22093",6418,5456,44,98,142,962
"911","22095",12658,7569,122,228,350,5089
"912","22097",17208,21966,181,349,530,-4758
"913","22099",8266,16872,121,303,424,-8606
"914","22101",8050,14353,85,245,330,-6303
"915","22103",27716,90914,1018,3409,4427,-63198
"916","22105",16869,33933,286,843,1129,-17064
"917","22107",1329,1180,8,13,21,149
"918","22109",10664,31900,215,808,1023,-21236
"919","22111",2691,7972,32,108,140,-5281
"920","22113",4745,19807,115,387,502,-15062
"921","22115",2665,13471,72,265,337,-10806
"922","22117",5690,12552,68,185,253,-6862
"923","22119",6259,11538,63,166,229,-5279
"924","22121",5382,6926,72,206,278,-1544
"925","22123",715,3970,10,27,37,-3255
"926","22125",2247,3390,17,97,114,-1143
"927","22127",1643,4605,29,40,69,-2962
"928","23001",22975,28189,885,3291,4176,-5214
"929","23003",13377,19419,516,1651,2167,-6042
"930","23005",102935,57697,3211,7406,10617,45238
"931","23007",7001,7900,379,1102,1481,-899
"932","23009",16107,13682,641,1553,2194,2425
"933","23011",29296,31753,1258,3692,4950,-2457
"934","23013",12440,9148,535,898,1433,3292
"935","23015",10241,9727,425,1039,1464,514
"936","23017",12172,16214,661,2047,2708,-4042
"937","23019",32832,41601,1417,4378,5795,-8769
"938","23021",3098,5403,179,464,643,-2305
"939","23023",10679,9304,435,1178,1613,1375
"940","23025",9092,14998,516,1362,1878,-5906
"941","23027",10442,10378,590,1220,1810,64
"942","23029",6358,9037,373,791,1164,-2679
"943","23031",55828,50388,2054,5692,7746,5440
"944","24001",6665,20025,336,778,1114,-13360
"945","24003",116074,114509,2991,9365,12356,1565
"946","24005",189437,131009,4573,9998,14571,58428
"947","24009",16669,24680,449,1647,2096,-8011
"948","24011",3747,8999,121,415,536,-5252
"949","24013",24314,55593,961,4011,4972,-31279
"950","24015",12651,27579,535,1544,2079,-14928
"951","24017",46063,24163,699,1555,2254,21900
"952","24019",5695,7938,94,307,401,-2243
"953","24021",51891,56472,1594,5005,6599,-4581
"954","24023",2252,10189,97,367,464,-7937
"955","24025",43803,74261,1474,4686,6160,-30458
"956","24027",93808,44792,2085,5716,7801,49016
"957","24029",4178,4598,102,288,390,-420
"958","24031",309761,82985,5637,9917,15554,226776
"959","24033",313627,29290,4211,3963,8174,284337
"960","24035",7316,16211,251,855,1106,-8895
"961","24037",15786,26889,452,2042,2494,-11103
"962","24039",3484,5056,57,171,228,-1572
"963","24041",7865,10098,182,586,768,-2233
"964","24043",19193,38842,704,1992,2696,-19649
"965","24045",16327,20832,388,1175,1563,-4505
"966","24047",8783,15910,227,651,878,-7127
"967","24510",178562,22726,3619,4073,7692,155836
"968","25001",71632,53842,1889,5304,7193,17790
"969","25003",43540,16799,1619,2549,4168,26741
"970","25005",127619,104775,3605,10069,13674,22844
"971","25007",8338,2474,258,364,622,5864
"972","25009",220027,135405,4615,16093,20708,84622
"973","25011",24369,10327,1405,1886,3291,14042
"974","25013",110313,78230,3415,8262,11677,32083
"975","25015",54572,22089,2590,3078,5668,32483
"976","25017",508919,216163,10271,31984,42255,292756
"977","25019",4144,1892,108,260,368,2252
"978","25021",219129,119171,3984,15497,19481,99958
"979","25023",133828,114722,3159,12459,15618,19106
"980","25025",241212,50042,4372,7891,12263,191170
"981","25027",197126,157138,5620,21088,26708,39988
"982","26001",1732,4201,54,164,218,-2469
"983","26003",1663,2585,67,177,244,-922
"984","26005",17932,33812,595,2498,3093,-15880
"985","26007",4877,9090,160,498,658,-4213
"986","26009",4448,8469,146,459,605,-4021
"987","26011",2238,4704,54,434,488,-2466
"988","26013",1156,2158,49,106,155,-1002
"989","26015",9109,19197,346,1424,1770,-10088
"990","26017",21641,28327,544,2189,2733,-6686
"991","26019",4108,5539,149,382,531,-1431
"992","26021",29496,38646,662,2760,3422,-9150
"993","26023",4740,11025,140,525,665,-6285
"994","26025",24154,31489,631,2282,2913,-7335
"995","26027",7270,14241,199,1453,1652,-6971
"996","26029",5137,8674,178,532,710,-3537
"997","26031",4302,8680,140,463,603,-4378
"998","26033",5378,9120,243,583,826,-3742
"999","26035",4250,8507,120,435,555,-4257
"1000","26037",16490,21635,379,1885,2264,-5145
"1001","26039",2110,4354,66,267,333,-2244
"1002","26041",6431,11112,182,660,842,-4681
"1003","26043",3923,8580,123,450,573,-4657
"1004","26045",24534,27608,602,2617,3219,-3074
"1005","26047",6972,10616,279,806,1085,-3644
"1006","26049",102744,84174,2193,6221,8414,18570
"1007","26051",3794,8124,87,393,480,-4330
"1008","26053",2925,4019,118,213,331,-1094
"1009","26055",20964,27412,756,2149,2905,-6448
"1010","26057",5665,9878,140,687,827,-4213
"1011","26059",4799,14094,184,700,884,-9295
"1012","26061",6018,8475,216,837,1053,-2457
"1013","26063",4579,10629,104,477,581,-6050
"1014","26065",81266,44354,1876,5369,7245,36912
"1015","26067",8206,16374,286,1338,1624,-8168
"1016","26069",4344,8344,146,459,605,-4000
"1017","26071",2004,3675,36,175,211,-1671
"1018","26073",11404,12338,396,1093,1489,-934
"1019","26075",25795,39793,713,2901,3614,-13998
"1020","26077",67142,51031,1634,5643,7277,16111
"1021","26079",2279,6213,118,283,401,-3934
"1022","26081",138567,147959,3995,14235,18230,-9392
"1023","26083",527,814,20,62,82,-287
"1024","26085",1939,3159,48,152,200,-1220
"1025","26087",12734,30037,426,1730,2156,-17303
"1026","26089",6774,7239,197,510,707,-465
"1027","26091",16750,26428,449,2044,2493,-9678
"1028","26093",34378,65665,911,4261,5172,-31287
"1029","26095",681,1756,29,103,132,-1075
"1030","26097",2085,3740,68,180,248,-1655
"1031","26099",176238,224589,3886,12860,16746,-48351
"1032","26101",4979,6915,200,456,656,-1936
"1033","26103",16042,14646,583,1458,2041,1396
"1034","26105",5281,8505,189,601,790,-3224
"1035","26107",5827,10305,229,697,926,-4478
"1036","26109",3539,6704,118,351,469,-3165
"1037","26111",15655,23877,408,2224,2632,-8222
"1038","26113",1565,5386,74,241,315,-3821
"1039","26115",26859,43255,707,2985,3692,-16396
"1040","26117",7874,16907,292,1316,1608,-9033
"1041","26119",1286,3498,44,159,203,-2212
"1042","26121",36640,35962,962,3170,4132,678
"1043","26123",6212,15174,197,878,1075,-8962
"1044","26125",342976,289127,6397,23143,29540,53849
"1045","26127",3973,7228,116,492,608,-3255
"1046","26129",3030,6827,118,353,471,-3797
"1047","26131",1175,2069,29,128,157,-894
"1048","26133",2705,7336,96,401,497,-4631
"1049","26135",1044,2843,18,140,158,-1799
"1050","26137",3556,8266,163,482,645,-4710
"1051","26139",46276,90456,1462,6476,7938,-44180
"1052","26141",2400,4486,50,237,287,-2086
"1053","26143",4287,8141,142,413,555,-3854
"1054","26145",44395,45469,780,3199,3979,-1074
"1055","26147",24553,49067,276,2972,3248,-24514
"1056","26149",7529,14886,290,935,1225,-7357
"1057","26151",4873,13446,170,662,832,-8573
"1058","26153",1369,2556,31,165,196,-1187
"1059","26155",12547,19232,362,1660,2022,-6685
"1060","26157",7493,17421,216,887,1103,-9928
"1061","26159",13258,17890,417,1480,1897,-4632
"1062","26161",128025,50335,2468,5806,8274,77690
"1063","26163",517022,228313,7750,18751,26501,288709
"1064","26165",4436,10000,192,579,771,-5564
"1065","27001",3134,5516,67,263,330,-2382
"1066","27003",75499,93341,2123,7726,9849,-17842
"1067","27005",5208,10880,130,580,710,-5672
"1068","27007",8688,10783,420,780,1200,-2095
"1069","27009",5640,12872,245,683,928,-7232
"1070","27011",921,1607,20,94,114,-686
"1071","27013",14428,15667,587,1604,2191,-1239
"1072","27015",3763,8708,136,503,639,-4945
"1073","27017",8460,8160,233,703,936,300
"1074","27019",21508,29057,488,2461,2949,-7549
"1075","27021",4949,9982,212,414,626,-5033
"1076","27023",1978,3764,70,209,279,-1786
"1077","27025",9279,18441,317,1213,1530,-9162
"1078","27027",12974,13549,416,1486,1902,-575
"1079","27029",1100,2925,33,94,127,-1825
"1080","27031",1912,1156,77,105,182,756
"1081","27033",1678,3679,41,150,191,-2001
"1082","27035",10982,22287,311,1174,1485,-11305
"1083","27037",110251,99624,2664,9867,12531,10627
"1084","27039",3102,6527,98,454,552,-3425
"1085","27041",6227,13966,167,781,948,-7739
"1086","27043",2153,4659,63,271,334,-2506
"1087","27045",3872,6271,103,409,512,-2399
"1088","27047",6041,8808,169,511,680,-2767
"1089","27049",9446,14041,262,1130,1392,-4595
"1090","27051",1104,2063,27,159,186,-959
"1091","27053",429283,191768,10310,24400,34710,237515
"1092","27055",4145,5616,135,394,529,-1471
"1093","27057",3432,7269,132,342,474,-3837
"1094","27059",5656,13635,219,765,984,-7979
"1095","27061",9015,12920,274,792,1066,-3905
"1096","27063",1492,3609,49,181,230,-2117
"1097","27065",2327,5230,81,298,379,-2903
"1098","27067",7266,12785,164,927,1091,-5519
"1099","27069",823,1349,15,121,136,-526
"1100","27071",2306,3569,69,207,276,-1263
"1101","27073",1301,2294,32,106,138,-993
"1102","27075",3077,2932,93,215,308,145
"1103","27077",553,1540,16,67,83,-987
"1104","27079",4623,9182,146,514,660,-4559
"1105","27081",860,1930,18,112,130,-1070
"1106","27083",3825,7256,115,523,638,-3431
"1107","27085",4978,12155,135,857,992,-7177
"1108","27087",930,991,34,54,88,-61
"1109","27089",1225,3208,30,204,234,-1983
"1110","27091",2733,7062,79,343,422,-4329
"1111","27093",3192,8103,94,449,543,-4911
"1112","27095",3709,8340,128,451,579,-4631
"1113","27097",3637,12925,146,442,588,-9288
"1114","27099",7444,8826,192,620,812,-1382
"1115","27101",1295,2974,22,203,225,-1679
"1116","27103",7886,8436,250,831,1081,-550
"1117","27105",2733,5299,40,258,298,-2566
"1118","27107",1264,1699,29,161,190,-435
"1119","27109",36266,35668,1116,3547,4663,598
"1120","27111",9339,20939,245,1000,1245,-11600
"1121","27113",2146,4000,46,315,361,-1854
"1122","27115",4580,8191,147,473,620,-3611
"1123","27117",1127,3338,44,131,175,-2211
"1124","27119",4712,8979,124,517,641,-4267
"1125","27121",2106,3793,43,221,264,-1687
"1126","27123",176929,70778,4546,9608,14154,106151
"1127","27125",540,1141,23,100,123,-601
"1128","27127",1887,5137,77,242,319,-3250
"1129","27129",2117,4890,66,244,310,-2773
"1130","27131",14437,15429,386,1230,1616,-992
"1131","27133",1373,3091,40,155,195,-1718
"1132","27135",1856,5451,42,220,262,-3595
"1133","27137",57769,44631,1878,4366,6244,13138
"1134","27139",28502,39948,741,3400,4141,-11446
"1135","27141",13299,31049,458,1927,2385,-17750
"1136","27143",1954,5193,64,291,355,-3239
"1137","27145",25575,47618,954,2972,3926,-22043
"1138","27147",6239,11198,208,808,1016,-4959
"1139","27149",2116,2800,69,205,274,-684
"1140","27151",1679,2962,32,153,185,-1283
"1141","27153",2783,8485,96,287,383,-5702
"1142","27155",631,1050,16,41,57,-419
"1143","27157",3866,6989,127,467,594,-3123
"1144","27159",1684,4837,58,164,222,-3153
"1145","27161",2838,5967,106,387,493,-3129
"1146","27163",67086,64429,1478,6180,7658,2657
"1147","27165",1814,2768,52,156,208,-954
"1148","27167",893,2129,34,146,180,-1236
"1149","27169",11366,12122,531,1165,1696,-756
"1150","27171",20336,43274,547,3002,3549,-22938
"1151","27173",1524,3382,37,163,200,-1858
"1152","28001",6921,5125,25,102,127,1796
"1153","28003",2684,11817,38,167,205,-9133
"1154","28005",2688,4282,7,38,45,-1594
"1155","28007",2847,4288,14,50,64,-1441
"1156","28009",1713,2240,9,28,37,-527
"1157","28011",8410,4251,30,92,122,4159
"1158","28013",1884,4360,10,49,59,-2476
"1159","28015",1648,3774,9,28,37,-2126
"1160","28017",3649,4127,12,61,73,-478
"1161","28019",1198,2763,12,26,38,-1565
"1162","28021",2523,414,3,5,8,2109
"1163","28023",2556,5088,15,29,44,-2532
"1164","28025",5695,4136,20,68,88,1559
"1165","28027",6378,2426,13,53,66,3952
"1166","28029",6203,5576,15,65,80,627
"1167","28031",3267,5423,12,61,73,-2156
"1168","28033",19892,42155,299,1305,1604,-22263
"1169","28035",11271,15149,142,584,726,-3878
"1170","28037",1471,2685,14,21,35,-1214
"1171","28039",1013,8652,20,89,109,-7639
"1172","28041",956,4309,4,28,32,-3353
"1173","28043",4386,5940,20,68,88,-1554
"1174","28045",3320,13720,81,309,390,-10400
"1175","28047",20679,39710,322,1183,1505,-19031
"1176","28049",64922,24919,441,937,1378,40003
"1177","28051",5820,1151,18,22,40,4669
"1178","28053",2652,924,2,10,12,1728
"1179","28055",395,298,0,4,4,97
"1180","28057",1100,8385,19,84,103,-7285
"1181","28059",13087,31204,152,820,972,-18117
"1182","28061",4367,4032,6,28,34,335
"1183","28063",3337,489,7,13,20,2848
"1184","28065",3720,2466,3,21,24,1254
"1185","28067",7748,20076,52,267,319,-12328
"1186","28069",2827,1778,1,18,19,1049
"1187","28071",7968,10872,134,577,711,-2904
"1188","28073",5044,18493,74,446,520,-13449
"1189","28075",10910,17574,70,296,366,-6664
"1190","28077",2181,4072,15,39,54,-1891
"1191","28079",3579,4775,13,39,52,-1196
"1192","28081",9635,21695,120,390,510,-12060
"1193","28083",6677,2757,25,73,98,3920
"1194","28085",4458,10550,26,89,115,-6092
"1195","28087",11545,13124,94,281,375,-1579
"1196","28089",18358,25607,127,748,875,-7249
"1197","28091",3572,7697,30,105,135,-4125
"1198","28093",7944,6525,55,95,150,1419
"1199","28095",5485,10107,28,106,134,-4622
"1200","28097",1775,2334,7,25,32,-559
"1201","28099",2668,7613,18,83,101,-4945
"1202","28101",2549,5929,18,59,77,-3380
"1203","28103",4330,1181,6,12,18,3149
"1204","28105",7851,7671,94,420,514,180
"1205","28107",7300,7371,20,95,115,-71
"1206","28109",2919,15530,75,275,350,-12611
"1207","28111",1220,4135,5,47,52,-2915
"1208","28113",7636,7748,40,138,178,-112
"1209","28115",2123,9442,33,138,171,-7319
"1210","28117",2067,7647,25,79,104,-5580
"1211","28119",2303,998,7,20,27,1305
"1212","28121",13741,46168,212,946,1158,-32427
"1213","28123",3999,5742,19,75,94,-1743
"1214","28125",1290,619,2,8,10,671
"1215","28127",3871,7393,22,74,96,-3522
"1216","28129",1598,5877,7,51,58,-4279
"1217","28131",1400,4810,14,104,118,-3410
"1218","28133",6560,2768,20,27,47,3792
"1219","28135",3337,2462,8,31,39,875
"1220","28137",3804,7385,20,110,130,-3581
