elec_date,county_name,entity_description,race_number,race_description,race_party,tot_race_prec,race_prec_reporting,cand_number,cand_name,cand_party,cand_absmail_votes,cand_early_votes,cand_elecday_votes,cand_tot_votes
11/06/2012,OTTAWA,"FEDERAL, STATE AND COUNTY",30233,STATE QUESTION NO. 759 LEGISLATIVE REFERENDUM NO. 359,,17,17,2,AGAINST THE PROPOSAL - NO,,126,335,3768,4229
11/06/2012,OTTAWA,"FEDERAL, STATE AND COUNTY",30234,STATE QUESTION NO. 762 LEGISLATIVE REFERENDUM NO. 360,,17,17,1,FOR THE PROPOSAL - YES,,166,411,4848,5425
11/06/2012,OTTAWA,"FEDERAL, STATE AND COUNTY",30234,STATE QUESTION NO. 762 LEGISLATIVE REFERENDUM NO. 360,,17,17,2,AGAINST THE PROPOSAL - NO,,136,350,3358,3844
11/06/2012,OTTAWA,"FEDERAL, STATE AND COUNTY",30235,STATE QUESTION NO. 764 LEGISLATIVE REFERENDUM NO. 361,,17,17,1,FOR THE PROPOSAL - YES,,155,426,4137,4718
11/06/2012,OTTAWA,"FEDERAL, STATE AND COUNTY",30235,STATE QUESTION NO. 764 LEGISLATIVE REFERENDUM NO. 361,,17,17,2,AGAINST THE PROPOSAL - NO,,145,329,3982,4456
11/06/2012,OTTAWA,"FEDERAL, STATE AND COUNTY",30236,STATE QUESTION NO. 765 LEGISLATIVE REFERENDUM NO. 362,,17,17,1,FOR THE PROPOSAL - YES,,136,377,4094,4607
11/06/2012,OTTAWA,"FEDERAL, STATE AND COUNTY",30236,STATE QUESTION NO. 765 LEGISLATIVE REFERENDUM NO. 362,,17,17,2,AGAINST THE PROPOSAL - NO,,167,381,4079,4627
11/06/2012,OTTAWA,"FEDERAL, STATE AND COUNTY",30237,STATE QUESTION NO. 766 LEGISLATIVE REFERENDUM NO. 363,,17,17,1,FOR THE PROPOSAL - YES,,187,424,4312,4923
11/06/2012,OTTAWA,"FEDERAL, STATE AND COUNTY",30237,STATE QUESTION NO. 766 LEGISLATIVE REFERENDUM NO. 363,,17,17,2,AGAINST THE PROPOSAL - NO,,118,341,3912,4371
11/06/2012,PAWNEE,"FEDERAL, STATE AND COUNTY",10001,FOR PRESIDENT AND VICE PRESIDENT,,10,10,1,BARACK OBAMA,DEM,84,172,1557,1813
11/06/2012,PAWNEE,"FEDERAL, STATE AND COUNTY",10001,FOR PRESIDENT AND VICE PRESIDENT,,10,10,2,MITT ROMNEY,REP,157,325,3750,4232
11/06/2012,PAWNEE,"FEDERAL, STATE AND COUNTY",10006,FOR UNITED STATES REPRESENTATIVE DISTRICT 03,,10,10,1,TIMOTHY RAY MURRAY,DEM,70,127,1280,1477
11/06/2012,PAWNEE,"FEDERAL, STATE AND COUNTY",10006,FOR UNITED STATES REPRESENTATIVE DISTRICT 03,,10,10,2,FRANK D. LUCAS,REP,151,349,3705,4205
11/06/2012,PAWNEE,"FEDERAL, STATE AND COUNTY",10006,FOR UNITED STATES REPRESENTATIVE DISTRICT 03,,10,10,3,WILLIAM M. SANDERS,IND,16,18,296,330
11/06/2012,PAWNEE,"FEDERAL, STATE AND COUNTY",20592,FOR COUNTY SHERIFF,,10,10,1,MIKE WATERS,DEM,132,398,2773,3303
11/06/2012,PAWNEE,"FEDERAL, STATE AND COUNTY",20592,FOR COUNTY SHERIFF,,10,10,2,FORREST SMITH,REP,104,102,2523,2729
11/06/2012,PAWNEE,"FEDERAL, STATE AND COUNTY",20594,FOR COUNTY COMMISSIONER DISTRICT NO. 2,,3,3,1,J. T. ADAMS,DEM,50,177,731,958
11/06/2012,PAWNEE,"FEDERAL, STATE AND COUNTY",20594,FOR COUNTY COMMISSIONER DISTRICT NO. 2,,3,3,2,JIM R. McCORMICK,REP,47,115,898,1060
11/06/2012,PAWNEE,"FEDERAL, STATE AND COUNTY",30220,SUPREME COURT - NOMA D. GURICH,,10,10,1,YES,,123,305,3135,3563
11/06/2012,PAWNEE,"FEDERAL, STATE AND COUNTY",30220,SUPREME COURT - NOMA D. GURICH,,10,10,2,NO,,72,141,1741,1954
11/06/2012,PAWNEE,"FEDERAL, STATE AND COUNTY",30221,SUPREME COURT - YVONNE KAUGER,,10,10,1,YES,,113,297,3073,3483
11/06/2012,PAWNEE,"FEDERAL, STATE AND COUNTY",30221,SUPREME COURT - YVONNE KAUGER,,10,10,2,NO,,78,146,1777,2001
11/06/2012,PAWNEE,"FEDERAL, STATE AND COUNTY",30222,SUPREME COURT - JAMES E. EDMONDSON,,10,10,1,YES,,121,300,3171,3592
11/06/2012,PAWNEE,"FEDERAL, STATE AND COUNTY",30222,SUPREME COURT - JAMES E. EDMONDSON,,10,10,2,NO,,72,144,1682,1898
11/06/2012,PAWNEE,"FEDERAL, STATE AND COUNTY",30223,SUPREME COURT - DOUGLAS L. COMBS,,10,10,1,YES,,124,295,3086,3505
11/06/2012,PAWNEE,"FEDERAL, STATE AND COUNTY",30223,SUPREME COURT - DOUGLAS L. COMBS,,10,10,2,NO,,68,148,1763,1979
11/06/2012,PAWNEE,"FEDERAL, STATE AND COUNTY",30224,COURT OF CRIMINAL APPEALS - CLANCY SMITH,,10,10,1,YES,,124,298,3106,3528
11/06/2012,PAWNEE,"FEDERAL, STATE AND COUNTY",30224,COURT OF CRIMINAL APPEALS - CLANCY SMITH,,10,10,2,NO,,67,143,1736,1946
11/06/2012,PAWNEE,"FEDERAL, STATE AND COUNTY",30225,COURT OF CRIMINAL APPEALS - ARLENE JOHNSON,,10,10,1,YES,,124,300,3086,3510
11/06/2012,PAWNEE,"FEDERAL, STATE AND COUNTY",30225,COURT OF CRIMINAL APPEALS - ARLENE JOHNSON,,10,10,2,NO,,66,136,1731,1933
11/06/2012,PAWNEE,"FEDERAL, STATE AND COUNTY",30226,COURT OF CRIMINAL APPEALS - DAVID B. LEWIS,,10,10,1,YES,,128,296,3083,3507
